"nome","resumo","coordenador"
"MONITORIA EM BIOINFORMÁTICA","Em breve este conteúdo estará disponível.","Alexander Machado Cardoso "
"CAPACITAÇÃO PARA O ENSINO DE BIOLOGIA MOLECULAR","Em breve este conteúdo estará disponível.","Eidy De Oliveira Santos "
"DETERMINAÇÃO DE POTENCIAIS BIOMARCADORES PARA DOENÇA HEPÁTICA GORDUROSA NÃO ALCOÓLICA","Em breve este conteúdo estará disponível.","Eidy De Oliveira Santos "
"MONITORIA EM TÉCNICAS DE BIOLOGIA MOLECULAR","Em breve este conteúdo estará disponível.","Ida Carolina Neves Direito "
"MONITORIA BIOQUÍMICA I - ODONTOLOGIA","Em breve este conteúdo estará disponível.","Maria Da Graça Justo Araujo "
"MONITORIA BIOQUÍMICA II - ODONTOLOGIA","Em breve este conteúdo estará disponível.","Maria Da Graça Justo Araujo "
"ESTUDO DO MECANISMO DE AÇÃO IN VITRO DE LQB-471 EM LINHAGEM DE CÂNCER DE MAMA","Em breve este conteúdo estará disponível.","Maria Da Graça Justo Araujo "
"MONITORIA BIOQUÍMICA METABOLISMO LICENCIATURA","Em breve este conteúdo estará disponível.","Natália Pereira De Almeida Nogueira "
"MONITORIA PARA BIOQUÍMICA FISIOLÓGICA: ENSINO PESQUISA E EXTENSÃO","Em breve este conteúdo estará disponível.","Patricia Alves Reis "
